epoch_id,building,mechanism,evidence,source,page,source_scope,source_authority,status,reason,confidence
E2_PRN_FOUR_BUILDING,PRN_campus,SPLC,No Prineville-specific SPLC installation source,META_SPLC_2018,fleet announcement,META_FLEET_CONTEXT,TIER3,UNSUPPORTED,fleet technology exists; not linked to Prineville,UNSUPPORTED
E2_PRN_FOUR_BUILDING,PRN_campus,liquid_cooling_direct_to_chip,None,none,,GENERIC,none,UNSUPPORTED,no site evidence,UNSUPPORTED
E2_PRN_FOUR_BUILDING,PRN_campus,cooling_tower,2011 design eliminated cooling towers,META_ENG_2011_PARK,"We didn't build a chiller plant, eliminating associated cooling towers",PRINEVILLE_SPECIFIC,TIER1,CONTRADICTED,explicitly not part of original design; later PRN1 heat-rejection type unknown,CONTRADICTED
E2_PRN_FOUR_BUILDING,PRN_campus,mechanical_chiller,No chiller plant; no compressors for IT load in OCP v1.0,META_ENG_2011_PARK; OCP_DC_V1_2011 §5.3,,PRINEVILLE_SPECIFIC,TIER1,CONTRADICTED,early epoch only,CONTRADICTED
E2_PRN_FOUR_BUILDING,PRN_campus,dry_cooler,None installed as the IT heat-rejection path in 2011 design,META_ENG_2011_PARK,,PRINEVILLE_SPECIFIC,TIER1,UNSUPPORTED,not described for early OA+ECH path,UNSUPPORTED
E3_CCO1_CCO2,CCO1,direct_evaporative_mist_ECH,Inspection notes piping serving ECH in Data Hall A,CCO_MECH_2019 / 217-19-000276-MECH,campus_buildings.csv quality note,PRINEVILLE_SPECIFIC,TIER1,SUPPORTED,ECH acronym matches OCP evaporative cooling/humidification; not a full penthouse spec,SUPPORTED
E3_CCO1_CCO2,CCO1,facility_water_IWS_IWR,IWS/IWR piping and data-hall supply water; water rooms,217-19-000276-MECH,,PRINEVILLE_SPECIFIC,TIER1,SUPPORTED,water piping present; technology not fully named,SUPPORTED
E3_CCO1_CCO2,CCO1,mechanical_chiller,No chiller word in CCO mechanical inspection summary,217-19-000276-MECH,,PRINEVILLE_SPECIFIC,TIER1,UNKNOWN,refrigeration lines noted; do not infer chiller plant,UNKNOWN
E3_CCO1_CCO2,CCO1,SPLC,none,META_SPLC_2018,,META_FLEET_CONTEXT,TIER3,UNSUPPORTED,no Prineville linkage,UNSUPPORTED
E3_CCO1_CCO2,CCO,CRAC_electrical_room,CRAC piping in an electrical room,217-19-000276-MECH,,PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,support-space CRAC; not data-hall architecture,CONFIRMED
E4_PRN1_MECH_ADDITION,PRN1,mechanical_chiller,"Heating/cooling for personnel and IT; chilled-water, CRAH, chiller; additional roof chiller operational 2024-02-02",217-21-003734-MECH; 217-24-000066-MECH,prn1_addition_facts.csv,PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,inspector recorded operational chiller; PRN1 only,CONFIRMED
E4_PRN1_MECH_ADDITION,PRN1,CRAH_chilled_water,CRAH connections and chilled-water hydronic test 2023-09-21 (chillers/CRAH not yet final then),217-21-003734-MECH,page 2 hydronic comments,PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,,CONFIRMED
E4_PRN1_MECH_ADDITION,PRN1,cooling_tower,Heat-rejection type not stated,prn1_addition_facts.csv interpretation_note,,PRINEVILLE_SPECIFIC,TIER1,UNKNOWN,do not infer open tower from the word chiller,UNKNOWN
E4_PRN1_MECH_ADDITION,PRN1,dry_cooler,not stated,PRN1_PERMITS_2021_2024,,PRINEVILLE_SPECIFIC,TIER1,UNKNOWN,,UNKNOWN
E4_PRN1_MECH_ADDITION,PRN1,SPLC,none,META_SPLC_2018,,META_FLEET_CONTEXT,TIER3,UNSUPPORTED,fleet != Prineville,UNSUPPORTED
E4_PRN1_MECH_ADDITION,campus_other_than_PRN1,mechanical_chiller,No permit transferring PRN1 chiller to CCO/PRN2–6,PRN1_PERMITS_2021_2024,,PRINEVILLE_SPECIFIC,TIER1,UNSUPPORTED,PRN1-scoped evidence only,UNSUPPORTED
