source_id,source_path,date_period,source_type,address,facility_campus_scope,FRC1_identity_status,variable,units,observed_vs_inferred,usable_for,not_usable_for,provenance_hash,notes,bucket,do_not_merge_2012_with_2023_2024_campus
ITNEWS_MCCAMMON_FC,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/itnews_mccammon_forest_city.html,second hottest NC summer; later membrane vs misters,OPERATOR_INTERVIEW,,FOREST_CITY,INTERVAL/SET_UNRESOLVED,DX/chillers unused that summer; membrane later water efficiency,,OPERATOR_OBSERVED,qualitative operations,Membrane retrofit timing vs 2012 misting is not a 2012 controller parameter. Do not fit.,fc2b00a4f094ba705e86f808597ff410d61ae6e7f3ced068743bcd097c040758,Running Facebook's Forest City data centre,A_original_design_era_FRC1,True
AIWIRE_2014_COLD_STORAGE,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/aiwire_2014_cold_storage.html,2014 tour,SECONDARY_SITE_TOUR,,FOREST_CITY_CAMPUS,INTERVAL/SET_UNRESOLVED,building identities and areas; cold storage architecture,,OBSERVED_CAMPUS_TOUR,journalism/tour,"Building numbering (B2 empty pad, B3 as second large hall) must not be overwritten by later marketing names without evidence.",e2dafef5106ee96e153d5f12bfbc6eb99b04f72af6db39fd6346171cc04557c6,Open Compute in Full Bloom: Facebook North Carolina Datacenter,A_original_design_era_FRC1,True
ENR_2014_FRC4,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/enr_2014_frc4.html,2014,SECONDARY_ENGINEERING,,FOREST_CITY,INTERVAL/SET_UNRESOLVED,three 25000-sqft halls; 14 AHUs; LEED Gold seek,,DESIGN_CONSTRUCTION,construction award writeup,Does not give CFM or DeltaT. Permit-level capacities are not measured load.,8dcc5a4bf845e88aa04face312540d035a38b764d7e06e64615c5658023b9443,Facebook's Latest North Carolina Data Center Goes for Gold,A_original_design_era_FRC1,True
CHARLOTTE_OBSERVER_COLD_STORAGE,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/charlotte_observer_cold_storage.html,2014 media tour,SECONDARY_SITE_TOUR,,FOREST_CITY,INTERVAL/SET_UNRESOLVED,160-acre campus; cold storage energy-saving disks,,OBSERVED_CAMPUS_TOUR,press tour,Paywall possible; qualitative.,,A peek inside the N.C. data center where your old Facebook photos go to sleep,A_original_design_era_FRC1,True
META_FC_FACTSHEET_2025,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/meta_forest_city_factsheet_2025.pdf,circa 2025,PRIMARY_OPERATOR_COMMUNITY,,FOREST_CITY_CAMPUS,INTERVAL/SET_UNRESOLVED,renewable matching; water-efficiency qualitative; 310 MW NC renewables,,OPERATOR_CLAIM_QUALITATIVE,community factsheet not EDI,No 2012 controller parameters. Do not treat later campus as 2012 Building 1.,3d151bc68e3d29fecd086d4c5384e706009787a11addca7d4679461aaa5cb81c,Meta's Forest City Data Center,D_later_campus_annual,True
META_EDI_2025,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sustainability/Meta_2025-Environmental-Data-Index.pdf,2020-2024,PRIMARY_OPERATOR_DISCLOSURE,,FOREST_CITY_FACILITY_ROW,INTERVAL/SET_UNRESOLVED,electricity MWh; water withdrawal ML; location-based Scope 2 tCO2e,,REPORTED_ANNUAL,Meta site reporting; not ISO WUE,Site total; later years include unidentified later buildings/cold storage. 2020 electricity rounded. Do not fit 2012 controller to these.,d7527cd23308869105b404b486117603bb3f5ee10e30499367f8698110afb66d,Meta 2025 Environmental Data Index (FY2024),D_later_campus_annual,True
TOWN_FC_WATER_TREATMENT,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/town_forest_city_water_treatment.html,current page,GOVERNMENT,,MUNICIPAL_PWS,INTERVAL/SET_UNRESOLVED,PWSID NC01-81-010; Second Broad River source,,SYSTEM_DESCRIPTION,municipal raw/finished water,Not Meta customer meter. Do not call municipal production Meta consumption.,e1c6349dab425252e857925ae447baeda12bbbe4f843fded6bdca8de73e3e9ec,"Water Treatment | Town of Forest City, NC",G_permit_utility,True
NC_LWSP_FC_2023,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp/lwsp_01-81-010_2023.html,2023,GOVERNMENT,,FOREST_CITY_PWS_01-81-010,INTERVAL/SET_UNRESOLVED,raw withdrawal; WTP 8 MGD; metered raw and finished; Second Broad River,,REPORTED_MUNICIPAL,municipal LWSP,"Industrial demand is municipal class, not proven Meta-only.",c1ee6473724288749d4111a9c1ae4076e4ece5d4b09aa79800bed345d5a64be5,NC DWR Local Water Supply Plan Forest City 2023,G_permit_utility,True
TOWN_FC_PERMIT_PORTAL,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/permits/town_permit_portal_home.html,public portal,GOVERNMENT,,TOWN,INTERVAL/SET_UNRESOLVED,permit access path,,PORTAL,public records index,Detailed drawings may require login or in-person request. Do not invent permit numbers.,5c1c5eb916c64c6a0d28ffa563ac1ca5574915e316e7b7b625437e624107b372,Town of Forest City NC Public Permit Portal,G_permit_utility,True
FBPUEWUE_DASHBOARD_LIVE,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/dashboard/fbpuewue_forestcity_live.html,historical public,PRIMARY_OPERATOR_DASHBOARD,,FOREST_CITY,INTERVAL/SET_UNRESOLVED,PUE WUE T RH,,OBSERVED_IF_RECOVERED,UNIDENTIFIED_UNTIL_RECOVERY,Live site likely dead; Wayback attempted separately.,,Facebook PUE/WUE dashboard (fbpuewue.com),E_dashboard_screenshot,True
KFQD_2012_raw_isd,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/weather/72314453890_2012.csv,2012,C_weather,,weather_station,INTERVAL/SET_UNRESOLVED,KFQD_2012_raw_isd,,OBSERVED,climate_replay,as_operated_RAT,e4cbfbbfc133cccc1c595b10859546880d169013aec80939bf3728d1bf62ad7f,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,C_weather,True
KEHO_2012_raw_isd,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/weather/72027763843_2012.csv,2012,C_weather,,weather_station,INTERVAL/SET_UNRESOLVED,KEHO_2012_raw_isd,,OBSERVED,climate_replay,as_operated_RAT,adc544dfbb31869ffe11ef3788b1763756d559f021966ec22363c60a4c944903,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,C_weather,True
KGSP_2012_raw_isd,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/weather/72312003870_2012.csv,2012,C_weather,,weather_station,INTERVAL/SET_UNRESOLVED,KGSP_2012_raw_isd,,OBSERVED,climate_replay,as_operated_RAT,d4305277f146bfd81096950fd54f783e43a14767e9e1deec4533e4b7d0907b3a,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,C_weather,True
KRDM_2012_raw_isd,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Prineville_Oregon_v3/data/raw/noaa/72692024230_2012.csv,2012,C_weather,,weather_station,INTERVAL/SET_UNRESOLVED,KRDM_2012_raw_isd,,OBSERVED,climate_replay,as_operated_RAT,29853f7afa500a5dc8a946cfdc88df9e9f93a459af41c22a27fa91aefafa6fa2,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,C_weather,True
FC_annual_source_rows,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/outputs/annual_accounting/FOREST_CITY_SITE_WITHDRAWAL_INTENSITY.csv,2015-2024,D_later_campus_annual,,as_labeled,INTERVAL/SET_UNRESOLVED,FC_annual_source_rows,,OBSERVED,campus_accounting,2012 FRC1 cooling WUE,42a591cc4bb44ca1d0bd1b38cc9f6eb2d87ea5a710ed5942c030a950451c0aa2,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,D_later_campus_annual,True
PRN_annual_audit,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Prineville_Oregon_v3/outputs/annual_audit.csv,2011-2024,D_later_campus_annual,,as_labeled,INTERVAL/SET_UNRESOLVED,PRN_annual_audit,,OBSERVED,campus_accounting,2012 FRC1 cooling WUE,34de3535aa8a58b893cdccdc9c8f2563edda2cdfd973bdb650ec44b04c7380da,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,D_later_campus_annual,True
dashboard_recovery_status,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/outputs/dashboard_recovery/DASHBOARD_RECOVERY_STATUS.json,2012-2014,E_dashboard_screenshot,,as_labeled,INTERVAL/SET_UNRESOLVED,dashboard_recovery_status,,SCREENSHOT_ONLY,identity_set,as_operated_RAT,2ecaa6fad6f7c484a6d42da2c9caa0b81f1edeb06a9aef6fb0a886ebadbe9f8a,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,E_dashboard_screenshot,True
v1_facility_registry,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/config/forest_city_facility_registry.yaml,2012-2025,F_address_parcel,UNIDENTIFIED_FRC1,as_labeled,INTERVAL/SET_UNRESOLVED,v1_facility_registry,,UNIDENTIFIED,identity_set,as_operated_RAT,c6117fc4d4f399ac2d71ef390fb63d9040ad6927850b0a7b33a43195e221dc6d,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,F_address_parcel,True
permit_inventory,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/outputs/permit_audit/FOREST_CITY_PUBLIC_PERMIT_INVENTORY.csv,public portal,G_permit_utility,,as_labeled,INTERVAL/SET_UNRESOLVED,permit_inventory,,NOT_FOUND_PUBLIC,identity_set,as_operated_RAT,a024b3b427b81e8efa2e7c65c48b0f1fb5924ae751de8041f40a0f0860c1a31e,Do not merge 2012 FRC1 engineering with 2023-2024 campus totals.,G_permit_utility,True
