source_id,provider_institution,dataset_product,source_url_or_acquisition_route,local_raw_files,spatial_resolution,temporal_resolution,coverage,reported_measured_modeled_status,processing_script,processed_outputs,model_role,known_limitations,branch_group,in_source_manifest
EPA_EGRID,U.S. Environmental Protection Agency,eGRID detailed US-customary workbooks,https://www.epa.gov/egrid,data/raw/egrid/ (12 files),eGRID subregion NWPP (ZIP 97754),annual vintage (lagged map for odd years / 2024),eGRID2010-2023 workbooks covering model years 2011-2024,official modeled annual generation-weighted output rates,src/prepare_egrid.py,data/processed/egrid_prineville_annual.csv; outputs/egrid_meta_annual_compare.csv,methodology/accounting consistency benchmark = Meta MWh × NWPP output rate versus Meta location Scope 2; not fully independent external validation,"Not hourly campus intensity, not PACW demand, not market/REC accounting. 2024 uses eGRID2023.",grid_carbon,yes
EPA_EGRID_POWER_PROFILER,U.S. Environmental Protection Agency,Power Profiler ZIP Code Tool v14.2,https://www.epa.gov/system/files/documents/2025-06/power_profiler_zipcode_tool_v14.2.xlsx,data/raw/egrid/power_profiler/power_profiler_zipcode_tool_v14.2.xlsx,ZIP 97754 → NWPP,eGRID2023 geography,ZIP 97754 uniquely NWPP; Subregion 2/3 blank,official lookup,src/prepare_egrid.py,data/processed/egrid_prineville_annual.csv,campus consumption-location subregion assignment,Geography lookup only; rates come from eGRID vintages.,grid_carbon,yes
OREGON_BER_RENEWABLE,Oregon Department of Energy,"Biennial Energy Report, Renewable Energy chapter",https://www.oregon.gov/energy/Data-and-Reports/Documents/BER-Chapter-3-Renewable-Energy.pdf,data/canonical/campus_events_seed.csv,PacifiCorp / Facebook contract context,policy/event 2018,2018 PacifiCorp Schedule 272 unbundled REC agreement,reported policy/event,not a physical power-source switch in the model,data/canonical/campus_events_seed.csv,market-vs-location carbon accounting breakpoint annotation,Does not change location-based eGRID/PACW physical accounting.,grid_carbon,yes
EPA_CAMPD_OR,U.S. EPA CAMPD,Oregon hourly emissions extract (CEMS),EPA CAMPD custom Oregon hourly extract bundled under data/raw/campd/; UUID in filename hourly-emissions-b0f0572b-0f0b-48a9-99c2-8563b9cdc379_Oregon.csv. Exact public query URL is not stored in source_manifest.csv.,data/raw/campd/hourly-emissions-b0f0572b-0f0b-48a9-99c2-8563b9cdc379_Oregon.csv,Oregon CAMD Facility ID × Unit ID,hourly,2011-2024 in processed campd_or_unit_hourly.csv (QC: years 2011-2024 present),measured CEMS (posted mass); gross generation derived as Gross Load × Operating Time,src/prepare_oregon_generators.py,data/processed/campd_or_unit_hourly.csv; data/processed/campd_or_plant_monthly.csv; data/processed/oregon_generator_externalities_monthly.csv,Oregon generator emissions/generation; no site-to-generator attribution,Does not identify which generators served Meta Prineville. Posted CO2/SO2/NOx mass are not multiplied by Operating Time.,generators,no
EPA_EIA_CROSSWALK,U.S. EPA / EIA,EPA/EIA unit crosswalk,Bundled at data/raw/epa_eia_crosswalk/epa_eia_crosswalk.csv. Exact download URL is not stored in source_manifest.csv.,data/raw/epa_eia_crosswalk/epa_eia_crosswalk.csv,CAMD unit ↔ EIA plant/generator/boiler,crosswalk vintage as bundled,used to join Oregon CAMPD units; unmatched units retained,official crosswalk (exact / modified_fuzzy / official_manual methods in QC),src/prepare_oregon_generators.py,data/processed/epa_eia_unit_crosswalk.csv; outputs/oregon_epa_eia_crosswalk_audit.csv,join CAMD units to EIA identifiers without exploding emissions,Cardinality includes one_to_many and many_to_many; emissions are not copied onto generator IDs.,generators,no
EIA_860,U.S. Energy Information Administration,EIA Form 860 annual generator inventory,Annual archives bundled under data/raw/eia860/ as eia860{year}.zip. Form documentation lives at EIA; a specific URL is not stored in source_manifest.csv.,data/raw/eia860/ (16 files),Oregon plants/generators after filter,annual,2011-2024 model years,reported inventory,src/prepare_oregon_generators.py,data/processed/eia860_generator_annual.csv; outputs/oregon_eia860_observation_flags.csv,Oregon generator characteristics / operating-retirement dates,National archives filtered to Oregon after read. No campus attribution.,generators,no
EIA_923,U.S. Energy Information Administration,EIA Form 923 generation and fuel,Annual archives bundled under data/raw/eia923/. A specific URL is not stored in source_manifest.csv.,data/raw/eia923/ (17 files),Oregon plants after filter,monthly where respondent frequency=M; annual-only respondents flagged,2011-2024,reported (monthly reporters); EIA-allocated months for annual respondents are not treated as observations,src/prepare_oregon_generators.py,data/processed/eia923_generation_fuel_monthly.csv; data/processed/eia923_plant_frame_annual.csv,Oregon net generation/fuel; CAMPD vs EIA-923 reconciliation diagnostic,Annual respondents' published monthly Netgen is not a monthly observation. No campus attribution.,generators,no
EIA_COOLING,U.S. Energy Information Administration,EIA standardized cooling-detail / Schedule 8 cooling operations,Bundled under data/raw/eia_cooling/. A specific URL is not stored in source_manifest.csv.,data/raw/eia_cooling/ (22 files),Oregon cooling systems after filter,annual/monthly as published,standardized cooling water used for 2014-2024; 2013 Schedule 8 volumes where reported in million gallons; 2011-2012 flow rates not converted,reported where present,src/prepare_oregon_generators.py,data/processed/eia923_cooling_operations.csv; outputs/oregon_cooling_water_coverage_by_year.csv,Oregon thermoelectric cooling water; generator-side water intensity where generation is associated,2011-2012 native units not converted. Negative official consumption is not clipped and is not used for intensity. Not Meta indirect water.,generators,no
ODEQ_AIR_07_0037,Oregon Department of Environmental Quality,Vitesse LLC (Meta/Facebook Prineville) air permit 07-0037-ST-01,"Collected PDFs under data/raw/deq_air/ (permit 07-0037, 2012-2025). A public DEQ catalog URL is not stored in source_manifest.csv.",data/raw/deq_air/ (26 files),onsite backup generators at the Prineville campus,monthly hours/emissions/fuel where extractable from annual reports,"text-extractable ARs include 2012, 2014-2017, 2020, 2022-2023; scan-only 2019/2021 ARs not OCR'd; AR_2013/AR_2018 missing per remaining_actions",reported permit/annual-report quantities; source tests stored separately,src/prepare_deq_prineville.py; src/audit_deq_prineville.py,data/canonical/meta_backup_generator_inventory.csv; data/processed/meta_backup_operation_monthly.csv; data/processed/meta_backup_emissions_monthly.csv; data/processed/meta_backup_fuel_monthly.csv,onsite backup generation/emissions independent of grid Scope 2,Scan-only PDFs unused. Proposed units are not treated as active. Nameplate MW is not IT capacity. PSEL/PTE is not actual emissions.,onsite_generation_permits,no
ODEQ_GHG,Oregon Department of Environmental Quality,Oregon GHG electricity-delivery workbooks,Workbooks under data/raw/deq_ghg/. SOURCE_INSTRUCTIONS.md: process ghgElectricityEms.xlsx for Pacific Power (PacifiCorp) Oregon deliveries.,data/raw/deq_ghg/ghgAnnualaqpHold.xlsx; data/raw/deq_ghg/ghgElectricityEms.xlsx; data/raw/deq_ghg/ghgFuelSupEms.xlsx; data/raw/deq_ghg/ghgNatGasEms.xlsx; data/raw/deq_ghg/ghgPetroNatEms.xlsx,Pacific Power Oregon deliveries (not campus),annual as published in the workbook,Pacific Power sheet processed; other GHG workbooks treated as provenance unless they contain Vitesse 07-0037 observations (none identified),reported utility-delivery GHG,src/prepare_deq_ghg.py,data/processed/pacific_power_deq_ghg_annual.csv,utility-territory GHG context; not Meta location Scope 2,Not campus electricity and not onsite backup. Kept separate from eGRID/PACW.,grid_carbon,no
