quantity_id,quantity,symbol,definition,unit,time_resolution,spatial_resolution,implementation_status,provenance_class,primary_source,raw_fields,processed_fields,equation_transformation_model,code_implementing_it,fitted_parameters,modeling_assumptions,calibration_target,independent_validation_source,accuracy_diagnostic_available,confidence_level,missing_information_limitation,glossary_section
Q_COOL_LOAD,Cooling load,"Q^{cool}_{i,t}",Heat that must be removed. Code uses the IT-heat airflow requirement; building heat and dU/dt are not modeled.,MW_th (implicit),hourly,campus (modeled),partial: Q_cool ≈ Q_IT baseline,derived,gray-box,,,Q_cool ≈ Q_IT; no building or storage terms,src/prineville_graybox.py::simulate,,IT-dominated hall; hourly storage neglected,none,unavailable,none,low-medium,No measured cooling load or building heat.,weather_heat
Q_THERMAL_STATE,Thermal state vector,"T_{i,t}",Rack/inlet/GPU temperatures. Only supply-air temperature from the evaporative controller is computed.,degC,hourly,facility-wide supply air,partial (t_supply_C only),derived,gray-box + weather,t_db_C; t_wb_C,t_supply_C,"t_full = t_db - ε max(t_db-t_wb,0); t_supply = t_db if t_db≤25 else 25 if reachable else t_full",src/prineville_graybox.py::simulate,supply_target_C=25; evap_effectiveness=0.85 (priors),no RC thermal model; return_air_C=35 is unused in the controller equations,none,unavailable,none vs inlet telemetry,low,No rack/inlet telemetry. return_air_C prior is declared but not used in simulate().,weather_heat
Q_COOLING_MODE,Cooling technology/mode,"m_{i,t}",Gray-box discrete mode: outside_air_or_winter_mix / partial_evap / full_evap from weather vs 25 C target.,categorical,hourly,campus (modeled),implemented as rule-based mode,derived,gray-box + KRDM weather,t_db_C; t_wb_C,cooling_mode,if t_db≤target: outside_air_or_winter_mix; elif t_full≤target: partial_evap; else full_evap,src/prineville_graybox.py::simulate,supply_target_C; evap_effectiveness,"2011 article: outside-air evaporative cooling, no chiller plant. Mode is weather-rule, not telemetry.",none,2011 engineering article (technology class only),none vs BMS mode logs,medium for technology class; low for hourly mode,No BMS mode telemetry. Later buildings could differ; permits do not state a chiller/evaporative switch.,weather_heat
Q_COOLING_CONTROL,Cooling control,"u^{cool}_{i,t}",Setpoints/fan speeds/flows. Only the 25 C supply target and evaporative effectiveness prior are used.,degC / effectiveness,hourly implicit,campus,partial (fixed priors),scenario,code priors in Params,,t_supply_C,"fixed supply target and effectiveness; spray fraction = clip((t_db-t_supply)/max(t_db-t_wb,ε),0,1)",src/prineville_graybox.py::Params,not fitted to site telemetry,"no MPC, no learned policy",none,unavailable,none,low,Exact cooling setpoint/control telemetry is not public.,weather_heat
Q_P_COOL,Cooling power,"P^{cool}_{i,t}",Gray-box has no chiller COP. Cooling-related electricity is p_fan + p_evap_aux only.,MW,hourly,campus (modeled),implemented as fan + evaporative-aux fractions of IT power,derived,gray-box priors,,p_fan_mw; p_evap_aux_mw,p_fan=0.025 P_IT; p_evap_aux=0.005 P_IT × spray; no chiller term,src/prineville_graybox.py::simulate,"fan_fraction_of_it=0.025; evap aux 0.005 (priors, not reported facts)",2011 no-chiller design; fractions chosen to leave room for ~1.07 mild-weather PUE,none directly; annual PUE is a diagnostic vs 1.07,"2011 full-load PUE 1.07 (design, not telemetry)",modeled 2011 annual PUE 1.060 vs benchmark 1.07,low-medium,No component meters. Constant COP is not used (and would be the wrong technology).,weather_heat
Q_P_FAC,Facility power,"P^{fac}_{i,t}",P_fac = P_IT + P_fan + P_other + P_evap_aux. Hourly series is reconstructed; annual integral is forced to Meta electricity.,MW,hourly reconstructed; annual reported,campus,implemented,derived,gray-box + annual electricity closure,,p_fac_mw; electricity_mwh_model_closure,P_fac = P_IT (1 + 0.025 + 0.035 + 0.005 spray),src/prineville_graybox.py; src/conditional_reconstruction.py,annual IT scale; facility overhead priors,all auxiliaries counted once; hourly path is not a meter,annual E_fac reported,unavailable hourly; annual value is the target itself,closure residual ~0; do not call this predictive accuracy,high for annual reported E_fac; low for hourly P_fac,No hourly feeder power.,weather_heat
Q_E_FAC,Facility electricity (annual reported),E^{fac},Meta-disclosed Prineville annual facility electricity. Hard observation for calibration.,MWh,annual,campus,implemented,reported,META_2016_DISCLOSURE / META_2019_DISCLOSURE / META_2025_INDEX via build_targets.py,site electricity tables in Meta PDFs (curated),electricity_mwh_reported; avg_facility_power_mw_derived,avg MW = MWh / hours_in_year,src/build_targets.py,,disclosed site annual total is the campus facility electricity used by the model,this quantity IS the calibration target,unavailable (no utility feeder series),source-vintage notes in meta_prineville_annual.csv,high as disclosed annual total,No monthly/hourly campus electricity observations.,weather_heat
Q_PUE,PUE,PUE,"P_fac/P_IT from the gray-box. Annual modeled PUE ≈ 1.060. 2011 design full-load PUE 1.07 is a benchmark, not a fit target.",unitless,hourly and annual,campus (modeled),implemented as derived KPI,derived,gray-box,,pue; annual_pue_model,PUE = P_fac / P_IT,src/prineville_graybox.py; src/conditional_reconstruction.py,overhead priors; IT scale does not change PUE in the linear gray-box except via spray,bottom-up PUE; not an independent input,none (2011 1.07 is a falsification diagnostic),2011 design PUE 1.07; fleet PUE in Meta tables is not site annual telemetry,2011 modeled annual PUE 1.060 vs 1.07,medium vs 2011 design; low as a claim of true hourly PUE,No simultaneous IT and facility metering.,weather_heat
Q_HEAT_REJ,Ambient heat rejection / reuse,"Q^{rej}, Q^{reuse}",Heat reuse is not modeled. Coarse balance Q_rej ≈ P_fac is not stored as an output.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented as a delivered quantity,,,,,,none,none,No recovered-heat meters; reuse not assumed.,weather_heat
Q_WUE_DIR,Direct WUE,WUE^{dir},ISO/IEC 30134-9 WUE = consumption / IT energy. The pipeline does not observe site consumption. It reports withdrawal / facility electricity as a derived intensity and 2011 design WUE 0.31 L/kWh as a benchmark.,L/kWh (facility withdrawal intensity); design WUE L/kWh_IT,annual,campus,partial: withdrawal/facility-kWh derived; ISO WUE unavailable,derived,Meta annual water and electricity,water_withdrawal_m3_reported; electricity_mwh_reported,water_intensity_L_per_kWh_facility_derived,"intensity = 1000 × m³ / MWh_facility (withdrawal, not consumption; facility, not IT denominator)",src/build_targets.py,,this is not ISO WUE,none,2011 design WUE 0.31 L/kWh_IT is a different boundary,annual derived intensity in meta_prineville_annual.csv,high for the derived withdrawal/facility ratio; ISO WUE unavailable,"No site consumption (needs discharge). Denominator is facility electricity, not IT energy.",water
Q_A2_WUE,a2 fixed-approach / fixed-cold-water WUE curves,"f_FA(T^{wb}), f_CW(T^{wb})",Gupta et al. generic cooling-tower WUE vs wet-bulb. Not implemented in executable code.,L/kWh heat removed,unavailable,unavailable,unavailable,unavailable,,,,glossary curves are not in src/prineville_graybox.py,,,,,,none,none,Code uses air-side evaporative humidification physics instead of a2 tower curves.,water
Q_W_EVAP,Raw evaporative water,W^{evap},"Gray-box humidification water from humidity-ratio increase at constant moist-air enthalpy, converted m³/h.",m³/h (hourly); m³ (annual sum),hourly,campus (modeled),implemented,derived,gray-box + weather + fitted P_IT,t_db_C; rh_pct; pressure_Pa,evap_water_m3_per_h; water_raw_m3,"m_air (kg/s) × max(w_supply-w_outdoor,0); m³/h = kg/s × 3.6",src/prineville_graybox.py::simulate,evap_effectiveness; supply_target; server_deltaT,adiabatic saturator proxy for evaporative cooling; not a cooling-tower mass balance; not makeup water,none for the raw series; a later multiplicative scale maps it toward withdrawal,unavailable as a meter,used inside water-scale and evap_physics candidate models,low as a withdrawal estimate; medium as a weather-shaped evaporative index,"Not equal to withdrawal, consumption, blowdown, or municipal delivery.",water
Q_MAKEUP_BLOWDOWN,Makeup / blowdown / drift,"W^{makeup}, W^{blowdown}",Cooling-tower mass-balance streams. Not implemented.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,"No cycles of concentration, blowdown, or drift data.",water
Q_COC,Cycles of concentration,CoC,Not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No water-chemistry or blowdown data.,water
Q_W_CONS,Direct water consumption,"W^{dir,cons}",Water not returned to the local system. Not identified: no discharge/sewer series and Meta tables used here are withdrawal.,m³,unavailable at site,campus,unavailable,unavailable,,,,would require withdrawal minus discharge or a documented consumptive fraction; neither is in code,,,,,,none,none,Site consumption is not publicly reported as a separate campus series in the canonical table.,water
Q_W_WITH,Direct water withdrawal (Meta annual),"W^{dir,with}",Meta-disclosed Prineville annual water withdrawal. Hard observation. Not monthly.,m³,annual (2014-2024),campus,implemented,reported,META_2016_DISCLOSURE / META_2019_DISCLOSURE / META_2025_INDEX,site water tables in Meta PDFs (curated),water_withdrawal_m3_reported,unit conversion to m³ in build_targets.py; 2011-2013 not publicly reported at site level,src/build_targets.py,,disclosed withdrawal is the campus water target used for water models,training target for water-scale and annual water candidates; holdout 2023-2024,OWRD City and POD series are different accounting boundaries (not used as this quantity),source status in meta_prineville_annual.csv,high as disclosed annual withdrawal,No monthly Meta water meters. 2011-2013 missing.,water
Q_WATER_PROXY,Hourly/annual water-withdrawal proxy (conditional),"s × W^{evap,raw}",Train-only global multiplicative scale on raw evaporation. Selected model is global (not one-break). Holdout years use the frozen train scale.,m³,hourly proxy; annual prediction,campus (proxy),implemented,proxy,raw evaporation × fitted scale,,water_pred_m3; water_withdrawal_proxy_m3_per_h; water_scale_fitted_train_only,s = exp(mean log(W_obs/W_raw)) on train years with water; W_hat = s W_raw; BIC vs one-break,src/conditional_reconstruction.py::select_water_scale_model,global scale 6.580050701752435 (train through 2022); one-break not selected,raw evaporation shape is a sufficient weather driver; scale is constant across years,annual Meta withdrawal 2014-2022,2023-2024 holdout Meta withdrawal (poor),"water_pct_error in conditional_annual_compare.csv; holdout 2023 +152.2%, 2024 +110.2%",low (holdout fails),Proxy is not a meter. Poor holdout means the frozen scale does not travel.,water
Q_CHI,Consumptive fraction,χ,W_cons / W_with. Not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,Needs consumption and withdrawal on the same boundary.,water
Q_THETA,Source-share vector,θ,Share of withdrawal by municipal / surface / groundwater / reclaimed. Not identified for Meta campus water.,unavailable,unavailable,campus,unavailable,unavailable,,,,not implemented; City vs POD series are kept as separate boundaries,src/build_water_context.py (keeps series separate),,do not infer θ from City production or POD totals,,,none,none,No campus source-share meter. Direct POD is not total withdrawal.,water
Q_REUSE_WATER,Onsite water reuse,reuse,Not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No reuse meters.,water
Q_ADD_MDD,Average-day and maximum-day demand,"ADD, MDD",Paper-c planning metrics. Not computed as campus daily demand; only annual withdrawal exists.,unavailable as daily,unavailable,campus,unavailable,unavailable,,,,annual/365 is not stored; no daily meters,,,,,,none,none,No daily campus withdrawal.,water
Q_CITY_PROD,Municipal / City production,City POD production,OWRD accepted City of Prineville municipal source-group production. External water-system evidence.,m³,monthly,City PODs / accepted Report-IDs,implemented,reported,OWRD_WUR_QUERY,OWRD water-use export volumes,city_municipal_production_m3,accepted Report-ID/source groups only; candidates excluded from primary,src/prepare_owrd_wateruse.py; src/build_water_context.py,,City production is not Meta delivery,none (external consistency only),"this series is itself external evidence, not a Meta validator by subtraction",outputs/qc/water_context_qa.csv; owrd_water_model_validation_checks.csv,high as OWRD reported City production; not usable as Meta water,Do not compute prediction error vs Meta withdrawal.,water
Q_DIRECT_POD,Vitesse/Facebook direct POD use,POD 64500/64845/64846,OWRD reported use at Meta/Facebook-associated direct groundwater PODs.,m³,monthly where reported,named PODs (no coordinates in pipeline),implemented,reported,OWRD_WUR_QUERY,"OWRD reports 64500, 64845, 64846",vitesse_facebook_direct_pod_m3,direct reports kept separate from City and Meta annual,src/prepare_owrd_wateruse.py; src/owrd_water_model_validation.py,,direct POD is not total Meta withdrawal,none,external evidence only,owrd_water_model_validation_checks.csv (missing 2024-04 preserved as NaN),high as OWRD POD reports; low as a campus total,No official POD coordinates. Incomplete months stay missing.,water
Q_IRRIGATION,USGS irrigation water,"irrwdtot, irrcutot",Modeled HUC12 crop irrigation withdrawal and consumptive use.,m³/month (converted from mgd),monthly,HUC12 170703051002 and study scopes,implemented as regional context,proxy,USGS_NWAA_IRR_WD / USGS_NWAA_IRR_CU,irrwdtot; irrcutot,site_huc12_irrigation_withdrawal_m3_month; site_huc12_irrigation_consumption_m3_month,mgd × days_in_month × 3785.411784,src/build_usgs_huc12_panels.py,,"USGS model, not local meters; missing after 2020-12",none,not used to validate Meta water,outputs/qc/usgs_nwaa_qa.csv PASS for coverage/identity checks,medium as USGS modeled regional context,Ends 2020-12. Not campus water.,water
Q_IWA_STRFLOW,IWA cumulative streamflow,strflow,USGS IWA cumulative streamflow (upstream+local) in mm and m³ per month.,mm/month and m³/month,monthly,HUC12,implemented,proxy,USGS_NWAA_IWA,strflow,iwa_cumulative_streamflow_mm_month; iwa_cumulative_streamflow_m3_month,native mm/month; m³ = mm × area_km² × 1000,src/build_usgs_huc12_panels.py,,USGS IWA routing; coverage 2009-10 to 2020-09 only,none,not independent of the same IWA product,QA coverage PASS,medium as USGS modeled,No 2021-2024 IWA.,water
Q_IWA_CONSUM,IWA cumulative consumption,consum,"USGS IWA cumulative consumption (upstream+local, not local-only).",mm/month and m³/month,monthly,HUC12,implemented,proxy,USGS_NWAA_IWA,consum,iwa_cumulative_consumption_mm_month,native IWA field; not pscutot+irrcutot,src/build_usgs_huc12_panels.py,,cumulative upstream+local,none,not independent hydrology,QA PASS,medium as USGS modeled,Do not treat as Meta consumption.,water
Q_IWA_AVAIL,IWA surface-water availability,availab,USGS IWA availability field. Code documents availab = strflow - consum as an internal identity.,mm/month and m³/month,monthly,HUC12,implemented,derived,USGS_NWAA_IWA,availab; strflow; consum,iwa_surface_water_availability_mm_month,"availab = strflow - consum (identity check, not validation)",src/build_usgs_huc12_panels.py; src/audit_usgs_nwaa.py,,identity must hold; residual ~1e-13 in QA,none,none; identity is not independent validation,iwa_identity_max_abs_error in usgs_nwaa_qa.csv,high that the identity holds in the files; that is not hydrologic skill,Never call this independent hydrologic validation.,water
Q_IWA_SUI,IWA supply-use index,sui,USGS IWA SUI field for the site HUC12.,fraction (native),monthly,HUC12,implemented,proxy,USGS_NWAA_IWA,sui,site_huc12_iwa_sui,native USGS field,src/build_usgs_huc12_panels.py,,"modeled index, not a groundwater state",none,none,coverage QA,medium as USGS modeled,Ends 2020-09. Not head or storage.,water
Q_USGS_PS,USGS public-supply withdrawal/CU,"pswdtot, pswdgw, pswdsw, pscutot",Modeled HUC12 public-supply water use. Not City OWRD and not Meta.,m³/month,monthly through 2020-12,HUC12,implemented as regional context,proxy,USGS_NWAA_PS_WD / USGS_NWAA_PS_CU,pswdtot; pswdgw; pswdsw; pscutot,site_huc12_public_supply_*,mgd conversions; pswd gw+sw vs total identity checked,src/build_usgs_huc12_panels.py,,modeled; not Meta-specific,none,not equated to City production,pswd identity QA PASS,medium as USGS modeled,Missing after 2020-12.,water
Q_GRID_DEMAND,PACW grid demand / interchange / generation,EIA-930 PACW,Balancing-authority operations from the bundled PACW workbook.,MWh,hourly,BA PACW,implemented,reported,EIA930,"demand, net generation, interchange columns in PACW.xlsx",demand_reported_mwh; demand_adjusted_mwh; net_generation_*; total_interchange_*; ng_*_mwh,workbook parse; blanks remain missing; zeros are reported zeros,src/prepare_eia930.py,,"regional context, not campus load",none,none required for BA published series,outputs/eia930_series_coverage.csv,high as BA published data; not campus,Starts 2015-07. Demand reported has gaps; adjusted series fills some EIA imputations.,grid
Q_RENEWABLE_CF,Renewable capacity factor,CF,Site or BA renewable CF for scheduling. Not implemented as a campus model input.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,"PACW ng_sun/ng_wnd exist as BA generation, not a CF model",,,,,,none as a CF,none,No campus renewable production model.,grid
Q_GEN_OR,Oregon generator generation and emissions,"G_g, E_g",CAMPD gross generation and posted CO2/NOx/SO2; EIA-923 net generation/fuel. Oregon-only pilot.,MWh; tonnes,hourly CAMPD; monthly EIA-923,Oregon plants/units,implemented as regional generator tables,measured,EPA_CAMPD_OR / EIA_923,"Gross Load, Operating Time, CO2 Mass (short tons), EIA-923 Netgen",campd_or_unit_hourly.csv; oregon_generator_externalities_monthly.csv,hourly MWh = Gross Load (MW) × Operating Time; mass not × Operating Time,src/prepare_oregon_generators.py,,no assignment of plants to Meta load,none for campus,"CAMPD vs EIA-923 reconciliation is a join diagnostic, not campus validation",outputs/oregon_generator_data_checks.csv (22/22 PASS in current file),high as Oregon CEMS/EIA tables; none for Meta attribution,Generator-to-Meta attribution is not identified.,grid
Q_GEN_WATER,Generator cooling water,WI_g,EIA cooling-product water for Oregon plants where reported.,m³ (from million gallons),as published (2014-2024 standardized product),Oregon cooling systems,implemented as Oregon tables,reported,EIA_COOLING,cooling-detail water volumes,eia923_cooling_operations.csv,million gallons × 3785.411784; 2011-2012 flow rates not converted,src/prepare_oregon_generators.py,,intensities use cooling water over cooling-associated generation only,none,none for Meta,oregon_cooling_water_coverage_by_year.csv; 2011-2012 all missing by design,medium where reported; none as Meta indirect water,Not coupled to campus electricity. No EWIF.,grid
Q_EWIF,Average electricity water intensity factor,EWIF,Grid-average water per MWh at generators. Not implemented as a campus coupling.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,Oregon cooling water exists but is not combined with Meta MWh,,,,,,none,none,Needs generator attribution or a documented BA-average EWIF; neither is implemented.,grid
Q_MWF,Marginal water factor,MWF,∂W_power / ∂E_load. Not implemented (no dispatch model).,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No dispatch/commitment model.,grid
Q_W_IND,Indirect electricity water,W^{ind},Generator-side water attributable to campus electricity. Not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No EWIF × E_fac and no generator-resolved attribution.,grid
Q_W_OPER,Total operational water footprint,W^{oper},Direct consumption + indirect. Unavailable because both components are unidentified at the required boundaries.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,Cannot form W_oper from withdrawal-only campus data plus unattributed generators.,grid
Q_SCOPE2_META,Meta reported location-based Scope 2,"S2^{loc,reported}",Disclosed Prineville location-based Scope 2 (tCO2e) where present.,tCO2e,annual,campus inventory,implemented,reported,Meta disclosures,location-based Scope 2 site tables,location_based_scope2_tco2e_reported; location_based_scope2_kg_per_mwh_derived,kg/MWh = 1000 × tCO2e / MWh when both present; 2011 not separately disclosed,src/build_targets.py,,corporate location-based inventory as reported,"stochastic hourly carbon can close to this annual total (closure, not prediction)","eGRID NWPP × Meta MWh is a physical benchmark, not this inventory's definition",egrid_meta_annual_compare.csv,high as disclosed inventory; method ≠ eGRID identity,2011 missing. Market/REC operational GHG is a different quantity.,grid
Q_SCOPE2_EGRID,eGRID NWPP physical carbon benchmark,"E^{fac} × EF^{eGRID,NWPP}",Meta annual MWh times eGRID subregion total output emission rate for ZIP 97754 → NWPP.,tCO2 / tCO2e,annual,eGRID subregion NWPP,implemented,derived,EPA_EGRID × Meta electricity,eGRID subregion output rates; electricity_mwh_reported,egrid_estimated_co2_tonnes; egrid_estimated_co2e_tonnes,tonnes = MWh × (lb/MWh) / 2204.6226218487757,src/prepare_egrid.py,vintage map 2011→eGRID2010 … 2024→eGRID2023,consumption-location average output rate; not marginal; not PACW demand,none (benchmark),compared with Meta location Scope 2 where disclosed,egrid_meta_annual_compare.csv; 2024 difference −0.036%,high as a reproducible benchmark; medium as equality to Meta's inventory method,Not hourly campus intensity.,grid
Q_CI_PACW,PACW hourly consumed CO2 intensity,"CI^{PACW,consumed}","EIA-930 consumed CO2 intensity for PACW where published (from 2018-07). Used as a regional relative hourly shape, not campus telemetry.",intensity units as prepared in pacw_hourly.csv,hourly,BA PACW,implemented as regional shape,reported,EIA930,co2_emissions_consumed; consumed_electricity_mwh,co2_intensity_consumed,consumed emissions / consumed electricity when both present,src/prepare_eia930.py; src/stochastic_conditional_simulation.py::build_pacw_relative_carbon_shape,,relative within-year shape only; annual Meta Scope 2 still closed separately,none,not campus,pacw_carbon_shape_compare.csv coverage by year,medium as BA intensity; none as campus marginal emissions,No consumed intensity before 2018-07. Not Meta-specific MEF.,grid
Q_FUEL_IMPORT_PROXY,PACW fuel/import carbon score,sensitivity proxy,Named sensitivity score from fuel mix and interchange when EIA consumed intensity is missing. Not the default shape when EIA intensity exists.,index,hourly,BA PACW,implemented as sensitivity only,proxy,EIA930 fuel mix / interchange,ng_*_mwh; interchange_*,used inside stochastic carbon-shape helper,documented in src/stochastic_conditional_simulation.py::_pacw_fuel_import_proxy_score,src/stochastic_conditional_simulation.py,,"sensitivity proxy, not a marginal emissions model",none,correlation vs EIA consumed intensity in pacw_carbon_shape_compare.csv where both exist,corr_eia_consumed_vs_fuel_import_proxy,low,Must not be described as Meta-specific marginal emissions.,grid
Q_MEF,Marginal emission factor,MEF,Not implemented. No Meta-specific or PACW dispatch-marginal model.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,Average location factors and a fuel/import score are not MEFs.,grid
Q_BACKUP_GEN,Onsite backup generation hours,backup hours,DEQ annual-report monthly operating hours for permitted engines where extractable.,hours,monthly (gappy),onsite engines,implemented,reported,ODEQ_AIR_07_0037,annual-report month tokens,meta_backup_operation_monthly.csv,table extraction; reprints collapsed; scan-only years unused,src/prepare_deq_prineville.py,,proposed units not treated as active; nameplate ≠ IT load,none,independent of grid Scope 2,src/audit_deq_prineville.py,medium where text-extractable; missing scan-only years,Exact hourly dispatch not available. 2019/2021 ARs scan-only.,grid
Q_BACKUP_EMIS,Onsite backup emissions,onsite t,DEQ-calculated annual-report emissions and separate source-test measurements.,tons as reported in DEQ tables (see processed files),monthly/annual as extracted,onsite,implemented,reported,ODEQ_AIR_07_0037,AR emission tables; source tests,meta_backup_emissions_monthly.csv; meta_backup_source_tests.csv,extracted DEQ calculations; source tests not mixed into calculated AR emissions,src/prepare_deq_prineville.py,,PSEL/PTE is not actual emissions,none,kept separate from Scope 2 / eGRID / PACW,DEQ audit script,medium where extractable,Gaps in scan-only years; not grid carbon.,grid
