source_id,title,url,local_file,sha256,publication_date,event_or_measurement_date,geographic_boundary,temporal_boundary,quantity_boundary,evidence_type,confidence,permitted_quantitative_use,design_vs_observed,building_scope,limitations,origin,filename,institution,claim_supported,retrieval_timestamp_utc,bytes
ITNEWS_MCCAMMON_FC,Running Facebook's Forest City data centre,https://www.itnews.com.au/news/running-facebooks-forest-city-data-centre-330872,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/itnews_mccammon_forest_city.html,fc2b00a4f094ba705e86f808597ff410d61ae6e7f3ced068743bcd097c040758,circa_2013,second hottest NC summer; later membrane vs misters,FOREST_CITY,second hottest NC summer; later membrane vs misters,DX/chillers unused that summer; membrane later water efficiency,operator statement,OPERATOR_INTERVIEW,as documented; do not upgrade evidence class,OPERATOR_OBSERVED,operating campus,Membrane retrofit timing vs 2012 misting is not a 2012 controller parameter. Do not fit.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
AIWIRE_2014_COLD_STORAGE,Open Compute in Full Bloom: Facebook North Carolina Datacenter,https://www.hpcwire.com/aiwire/2014/04/22/open-compute-full-bloom-facebook-north-carolina-datacenter/,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/aiwire_2014_cold_storage.html,e2dafef5106ee96e153d5f12bfbc6eb99b04f72af6db39fd6346171cc04557c6,2014-04-22,2014 tour,FOREST_CITY_CAMPUS,2014 tour,building identities and areas; cold storage architecture,measured,SECONDARY_SITE_TOUR,as documented; do not upgrade evidence class,OBSERVED_CAMPUS_TOUR,B1 and B3 ~350k; B2 pad; B4 cold storage 90k / 3 halls,"Building numbering (B2 empty pad, B3 as second large hall) must not be overwritten by later marketing names without evidence.",FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
ENR_2014_FRC4,Facebook's Latest North Carolina Data Center Goes for Gold,https://www.enr.com/articles/12214-facebooks-latest-north-carolina-data-center-goes-for-gold,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/enr_2014_frc4.html,8dcc5a4bf845e88aa04face312540d035a38b764d7e06e64615c5658023b9443,2014-11-03,2014,FOREST_CITY,2014,three 25000-sqft halls; 14 AHUs; LEED Gold seek,engineering design,SECONDARY_ENGINEERING,design specification only; not as-operated measurement,DESIGN_CONSTRUCTION,FRC4 cold storage; third FB facility by DPR/Fortis,Does not give CFM or DeltaT. Permit-level capacities are not measured load.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
CHARLOTTE_OBSERVER_COLD_STORAGE,A peek inside the N.C. data center where your old Facebook photos go to sleep,https://www.charlotteobserver.com/news/local/article9113354.html,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/charlotte_observer_cold_storage.html,,2014,2014 media tour,FOREST_CITY,2014 media tour,160-acre campus; cold storage energy-saving disks,measured,SECONDARY_SITE_TOUR,as documented; do not upgrade evidence class,OBSERVED_CAMPUS_TOUR,original ~350k opened 2012; second same size; cold storage 90k,Paywall possible; qualitative.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
META_FC_FACTSHEET_2025,Meta's Forest City Data Center,https://datacenters.atmeta.com/wp-content/uploads/2025/02/Meta_s-Forest-City-Data-Center.pdf,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/meta_forest_city_factsheet_2025.pdf,3d151bc68e3d29fecd086d4c5384e706009787a11addca7d4679461aaa5cb81c,2025-02,circa 2025,FOREST_CITY_CAMPUS,circa 2025,renewable matching; water-efficiency qualitative; 310 MW NC renewables,operator statement,PRIMARY_OPERATOR_COMMUNITY,as documented; do not upgrade evidence class,OPERATOR_CLAIM_QUALITATIVE,current campus marketing,No 2012 controller parameters. Do not treat later campus as 2012 Building 1.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
META_EDI_2025,Meta 2025 Environmental Data Index (FY2024),https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sustainability/Meta_2025-Environmental-Data-Index.pdf,d7527cd23308869105b404b486117603bb3f5ee10e30499367f8698110afb66d,2025-10,2020-2024,FOREST_CITY_FACILITY_ROW,2020-2024,electricity MWh; water withdrawal ML; location-based Scope 2 tCO2e,operator statement,PRIMARY_OPERATOR_DISCLOSURE,descriptive campus annual accounting only,REPORTED_ANNUAL,whole-site as reported by Meta; architecture mix unidentified,Site total; later years include unidentified later buildings/cold storage. 2020 electricity rounded. Do not fit 2012 controller to these.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
TOWN_FC_WATER_TREATMENT,"Water Treatment | Town of Forest City, NC",https://www.townofforestcity.com/water-treatment,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/town_forest_city_water_treatment.html,e1c6349dab425252e857925ae447baeda12bbbe4f843fded6bdca8de73e3e9ec,undated_page,current page,MUNICIPAL_PWS,current page,PWSID NC01-81-010; Second Broad River source,administrative,GOVERNMENT,municipal/administrative context; not Meta meter,SYSTEM_DESCRIPTION,Town WTP not Meta,Not Meta customer meter. Do not call municipal production Meta consumption.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
NC_LWSP_FC_2023,NC DWR Local Water Supply Plan Forest City 2023,https://www.ncwater.org/wudc/app/lwsp/report.php?pwsid=01-81-010&year=2023,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp/lwsp_01-81-010_2023.html,c1ee6473724288749d4111a9c1ae4076e4ece5d4b09aa79800bed345d5a64be5,2023,2023,FOREST_CITY_PWS_01-81-010,2023,raw withdrawal; WTP 8 MGD; metered raw and finished; Second Broad River,administrative,GOVERNMENT,as documented; do not upgrade evidence class,REPORTED_MUNICIPAL,municipal,"Industrial demand is municipal class, not proven Meta-only.",FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
TOWN_FC_PERMIT_PORTAL,Town of Forest City NC Public Permit Portal,https://twn-forestcity-nc.smartgovcommunity.com/Public/Home,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/permits/town_permit_portal_home.html,5c1c5eb916c64c6a0d28ffa563ac1ca5574915e316e7b7b625437e624107b372,current,public portal,TOWN,public portal,permit access path,administrative,GOVERNMENT,municipal/administrative context; not Meta meter,PORTAL,portal,Detailed drawings may require login or in-person request. Do not invent permit numbers.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
FBPUEWUE_DASHBOARD_LIVE,Facebook PUE/WUE dashboard (fbpuewue.com),https://www.fbpuewue.com/forestcity,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/dashboard/fbpuewue_forestcity_live.html,,2012-2014,historical public,FOREST_CITY,historical public,PUE WUE T RH,screenshot,PRIMARY_OPERATOR_DASHBOARD,as documented; do not upgrade evidence class,OBSERVED_IF_RECOVERED,dashboard site,Live site likely dead; Wayback attempted separately.,FOREST_CITY_V1_REGISTER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
KFQD_ISD_2012_HOURLY,NOAA ISD KFQD Rutherford Co Marchman Field 2012 hourly (frozen v1 parquet),https://www.ncei.noaa.gov/data/global-hourly/,/orcd/home/002/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/processed/forest_city_weather_2012_hourly.parquet,f87a2e61120cf2d8e3117ff20e838567d0f8525a650a7fdaad221f9b3044e1d9,2012,2012-06-21/2012-12-31 usable,county / KFQD ~6 mi NW of campus (OCP design-analysis station),2012; Jan 1–Jun 21 17:00 UTC MISSING not imputed,outdoor dry bulb / RH / pressure,measured,HIGH_as_station_weather; MEDIUM_as_campus_microclimate,hourly outdoor state for controller/psychrometrics; not campus water or electricity,MEASURED_WEATHER,not building-specific,OCP used Rutherfordton ~6 miles NW; June 1-20 2012 missing.,FOREST_CITY_V1_WEATHER_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
HSU_MULAY_FOREST_CITY_DX,Hsu and Mulay Forest City mechanical case-study slides (DX coil / psychrometric chart),https://www.yumpu.com/en/document/view/45018683/a-case-studies-hsu-and-mulay,,,circa_2013_OCP_summit,FRC1 design; BIN weather typical year,FRC1,design / typical-year BIN; not as-operated TAB,DX present; sized to dehumidify OA at extreme weather; BIN says DX not required typical year; FRC chart also shows 41.9F min dewpoint which v1 did not adopt as FC setpoint,engineering design,MEDIUM_for_DX_existence; LOW_for_dewpoint_min (not independently restated in OCP 2013 operator post),DX existence DESIGN_SPEC only; do not import 41.9F dewpoint min; no CFM/TAB,DESIGN_SPEC,FRC1,Slide deck via third-party viewer; not a TAB report. v1 controller correctly did not copy 41.9F min dewpoint.,REFERENCED_IN_V1_CONTRACT_NOT_DOWNLOADED_AS_NUMERIC_TRUTH,nan,nan,nan,nan,nan
META_EDI_ANNUAL_ELECTRICITY_WATER,Meta Environmental Data Index Forest City site rows (electricity MWh; withdrawal m3/ML),https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,/orcd/home/002/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/processed/FOREST_CITY_ANNUAL_ELECTRICITY.csv,7cd9b2b9e0797a9fb43adcb0b77020aadb68e403d0e2da77e05bafb651343fbd,2019-2025 disclosures,calendar years 2015-2024 electricity; 2017-2024 withdrawal,campus / FOREST_CITY_SITE_AS_REPORTED,annual; not 2012 FRC1 interval,"campus electricity; campus withdrawal — not cooling-water meter, not WUE",corporate annual,HIGH_as_reported_site_totals; LOW_as_2012_FRC1,descriptive annual accounting only; never controller calibration; never 2012 FRC1 load,REPORTED_ANNUAL,unidentified mix of halls after 2012,Later years are not 2012 Building 1. Withdrawal is not cooling evaporation.,FOREST_CITY_V1_PROCESSED_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
FBPUEWUE_DASHBOARD_WAYBACK,fbpuewue.com Forest City Wayback HTML (no numeric payload),https://www.fbpuewue.com/forestcity,/orcd/home/002/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/outputs/dashboard_recovery/DASHBOARD_RECOVERY_STATUS.json,2ecaa6fad6f7c484a6d42da2c9caa0b81f1edeb06a9aef6fb0a886ebadbe9f8a,2012-08 dashboard launch; archives 2013-2021,UNIDENTIFIED numeric period,FOREST_CITY dashboard site,public dashboard era,PUE / WUE labels only; ISO WUE numerator NOT verified,screenshot,HIGH_that_dashboard_existed; n/a as measurement,NONE — SCREENSHOT_ONLY,SCREENSHOT_ONLY,dashboard site,No JSON API in Wayback. Must not enter quantitative validation.,FOREST_CITY_V1_DASHBOARD_REFERENCED_NOT_COPIED,nan,nan,nan,nan,nan
TOWN_FC_WASTEWATER_TREATMENT,TOWN_FC_WASTEWATER_TREATMENT,https://www.townofforestcity.com/wastewater-treatment,/orcd/home/002/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v2/data/raw/documentary_evidence/town_forest_city_wastewater_treatment.html,93b63454cc1ee4da5741cb51ed967da8e568fa8701b85f55ac8ceae194b5da12,2026-09-02,current page,town / WWTP,current page,administrative / not Meta cooling or FRC1 electricity,administrative,HIGH_as_town_or_state_page; n/a as Meta meter,NONE for cooling WUE or FRC1 load; context for water-boundary graph only,ADMINISTRATIVE,not FRC1 TAB,"Does not identify cooling-water meter, CFM, or interval electricity.",V2_TARGETED_PUBLIC_ACQUISITION,town_forest_city_wastewater_treatment.html,Town of Forest City,Town WWTP NC0025984; 5 Significant Industrial Users unnamed; not a Meta cooling meter,2026-09-02T21:58:21.053440+00:00,111701.0
NCDEQ_NPDES_NC0025984_NOTICE,NCDEQ_NPDES_NC0025984_NOTICE,https://www.deq.nc.gov/news/events/notice-intent-issue-npdes-wastewater-permit-nc0025984-forest-city-wwtp-0,/orcd/home/002/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v2/data/raw/documentary_evidence/ncdeq_npdes_nc0025984_notice_2026.html,6a10589bb7769208fb8627418ed1d8219cb0e283d46a7c08c76f316a43d32900,2026-09-02,public notice 2026-08-22,town WWTP / Second Broad River,public notice 2026-08-22,administrative / not Meta cooling or FRC1 electricity,administrative,HIGH_as_town_or_state_page; n/a as Meta meter,NONE for cooling WUE or FRC1 load; context for water-boundary graph only,ADMINISTRATIVE,not FRC1 TAB,"Does not identify cooling-water meter, CFM, or interval electricity.",V2_TARGETED_PUBLIC_ACQUISITION,ncdeq_npdes_nc0025984_notice_2026.html,NC DEQ,"NPDES NC0025984 is the Town WWTP discharging to Second Broad River — municipal, not Meta campus cooling meter",2026-09-02T21:58:21.670085+00:00,75608.0
RUTHERFORD_EDC_FB_CONSTRUCTION,RUTHERFORD_EDC_FB_CONSTRUCTION,https://www.rutherfordncedc.com/newsdetail_T9_R75.php,/orcd/home/002/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v2/data/raw/documentary_evidence/rutherford_edc_facebook_facility_work_in_progress.html,904d2e1500033c0dff39deba688bccc22b14dba919230a56b014881c75702e6b,2026-09-02,pre-opening construction tour,campus construction,pre-opening construction tour,administrative / not Meta cooling or FRC1 electricity,administrative,HIGH_as_town_or_state_page; n/a as Meta meter,NONE for cooling WUE or FRC1 load; context for water-boundary graph only,ADMINISTRATIVE,not FRC1 TAB,"Does not identify cooling-water meter, CFM, or interval electricity.",V2_TARGETED_PUBLIC_ACQUISITION,rutherford_edc_facebook_facility_work_in_progress.html,Rutherford County EDC,construction-era campus qualitative; no TAB/CFM; acreage press figure must not overwrite v1 160-acre tour figure as measured,2026-09-02T21:58:21.994914+00:00,34353.0
WFAE_2026_NC_DATA_CENTER_WATER,WFAE: Data centers use a lot of water (mentions Forest City),https://www.wfae.org/2026-04-10/data-centers-water-quality-pfas-drought-climate-change,,,2026-04-10,cites 2024 water,Forest City mention inside statewide article,2024 cited,secondary 4.2 million gallons (~16 ML) and unverified 30 MW,inferred,LOW,NONE — 4.2 MG is 16 ML conversion of Meta EDI; 30 MW is not 2012 FRC1 load,SECONDARY_JOURNALISM,unverified campus capacity,Do not treat 30 MW as identified FRC1 IT/facility load. Do not treat 4.2 MG as a new meter reading.,V2_NOTED_NOT_DOWNLOADED_TO_AVOID_PROMOTING_SECONDARY,,WFAE,none new vs Meta 2024 16 ML withdrawal,2026-09-02T21:58:22.138314+00:00,0.0
