quantity,symbol,units,date_range,temporal_resolution,evidence_class,physical_meaning,source,water_thermal_boundary,observation,usable_as_model_target,usable_as_model_predictor,usable_as_validation_only,value,measurement_device,uncertainty,notes,extraction_method
share_Q_reuse,f_reuse,1,2016-09-01/2017-08-31,annual,MEASUREMENT_DERIVED,first-year heat-rejection share to building reuse,Sickinger Fig 4 pie / §2.2 10.5%,THERMAL_ALLOCATION,derived from heat-sink instrumentation; published as annual share,False,False,True,0.105,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
share_Q_TSC,f_TSC,1,2016-09-01/2017-08-31,annual,MEASUREMENT_DERIVED,first-year heat-rejection share to thermosyphon dry rejection,Sickinger 42.5%,THERMAL_ALLOCATION,derived,False,False,True,0.425,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
share_Q_tower,f_tower,1,2016-09-01/2017-08-31,annual,MEASUREMENT_DERIVED,first-year heat-rejection share to evaporative towers,Sickinger 47.0%,THERMAL_ALLOCATION,derived,False,False,True,0.47,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
COC_tower,COC,1,2016-09-01/2017-08-31,annual,MEASUREMENT_DERIVED,cycles of concentration = tower TDS / makeup TDS via Meter 3,Sickinger §3.2.1 12.8,TOWER_WATER_CHEMISTRY,derived from Meter 3,False,False,True,12.8,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
T_ERW_to_TSC,T_in_TSC,degC,first TSC year monthly means,monthly means stated ±2 F,DIRECT_MEASUREMENT,average entering water temperature to thermosyphon,Sickinger §2.2 28.9 C (84 F),THERMAL_LOOP,direct,False,False,True,28.9,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
TSC_DB_threshold,Tdb_star,degC,documented configuration,control rule,DOCUMENTED_CONTROL_RULE,Sickinger Fig 2: TSC programmed to operate more aggressively below 9.4 C / 49 F; Carter 66690: TSC handles entire remaining atmospheric load below same threshold in design model,Sickinger §2.1; Carter §results Fig 5,CONTROL,documented,False,False,True,9.4,,,NOT estimated from water outcomes,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
Carter_projected_tower_only_makeup,W_proj_tower,m3,pre-operation annual model,annual modeled,MODELED_COUNTERFACTUAL,Johnson Controls pre-install annual makeup projection tower-only ~8300 m3,Carter 66690 Fig 5/6,TOWER_MAKEUP,engineering model,False,False,True,8300.0,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
outside_air_temp,Tdb,degF native,2016-06-12 onward,~60 s,DIRECT_MEASUREMENT,ESIF outside weather station dry-bulb,DOI 10.7799/3015212,WEATHER,direct,False,True,True,,,,Compatible weather; does not create hourly water,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
monthly_cooling_tower_water_figure4,W_month,unknown from figure,first TSC year,monthly (figure bars),FIGURE_DIGITIZED,"Fig 4 left: actual tower water (blue), reuse savings (red), TSC savings (green)",Sickinger Fig 4,CONDITIONING_SITE_WATER,figure only; NOT DIGITIZED,False,False,True,,,,No independent monthly table. Digitization not performed.,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
MAU_humidification_water,W_MAU,unmetered,n/a,n/a,DIRECT_MEASUREMENT,makeup-air-unit humidification water explicitly unmetered and excluded,Sickinger §3.2.1,EXPLICITLY_UNMETERED,unmetered,False,False,False,,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
facility_energy,E_fac,kWh,2016-09-01/2017-08-31,annual,DIRECT_MEASUREMENT,total HPC energy (PUE numerator),"Sickinger §3.2.3 8,037,500 kWh",ELECTRICAL,direct,False,False,True,8037500.0,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
hvac_kw_electrical,P_hvac,kW,,subhourly in PUE parquet,DIRECT_MEASUREMENT,electrical HVAC; FORBIDDEN as thermal heat rejection in this experiment,ESIF PUE dataset,ELECTRICAL_NOT_THERMAL,direct,False,False,False,,,,not used,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
cooling_kw_electrical,P_cool_elec,kW,,subhourly,DIRECT_MEASUREMENT,electrical outdoor fans/heaters/filter pump; FORBIDDEN as rejected heat,ESIF PUE dataset,ELECTRICAL_NOT_THERMAL,direct,False,False,False,,,,not used,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
Meter_1,M1,volume,first TSC year,manual readings (not published as a series),DIRECT_MEASUREMENT,primary city/softened water into the cooling-tower loop (Sickinger Meter 1),Sickinger §3.2.1,TOWER_MAKEUP,direct but unpublished time series,False,False,True,,water meter 1 (manual),,included in W_ESIF_reported_cooling; no public numeric dump,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
Meter_2,M2,volume,first TSC year,manual readings (not published as a series),DIRECT_MEASUREMENT,softener regeneration discharge to sewer,Sickinger §3.2.1,RETURN_FLOW,direct but unpublished time series,False,False,True,,water meter 2 (manual),,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
sand_filter_blowdown_estimate,W_filter_bd,volume,,estimated (few flushes/month),ENGINEERING_CALCULATION,"side-stream sand-filter flush to sewer, estimated not metered",Sickinger §3.2.1,BLOWDOWN,estimated,False,False,True,,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
tower_evaporation,W_evap,volume,,not published separately,ENGINEERING_CALCULATION,evaporative consumption at the cooling towers; occurs but not a published series,Sickinger §3.2.1 process description,EVAPORATION,occurs; not separately reported,False,False,False,,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
tower_blowdown_to_sewer,W_bd,volume,,not published separately,ENGINEERING_CALCULATION,cooling-tower blowdown to sewer,Sickinger §3.2.1,BLOWDOWN / RETURN_FLOW,occurs; not separately reported,False,False,False,,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
